                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.37208,                0.57764,                0.93796,                0.91753,                0.88861,                0.94378,                0.80021,                0.68355,                0.52663,                 1.0763,               0.004852,               0.004852,               0.004852
                     54,                0.37127,                0.57544,                0.93546,                0.91616,                0.89247,                0.94431,                0.80182,                0.68195,                0.52357,                 1.0752,               0.004753,               0.004753,               0.004753
                     55,                0.36881,                0.57482,                0.93481,                0.92349,                  0.888,                0.94501,                0.80319,                0.68067,                0.52072,                 1.0741,               0.004654,               0.004654,               0.004654
                     56,                0.36869,                0.56858,                0.93353,                0.93203,                0.88355,                0.94522,                0.80436,                0.67872,                0.51782,                 1.0724,               0.004555,               0.004555,               0.004555
                     57,                0.36379,                0.55798,                0.93192,                0.92771,                0.89348,                0.94614,                0.80518,                0.67798,                0.51572,                 1.0714,               0.004456,               0.004456,               0.004456
                     58,                0.36442,                0.56164,                0.93127,                0.92887,                0.89469,                0.94725,                0.80535,                0.67669,                0.51333,                 1.0703,               0.004357,               0.004357,               0.004357
                     59,                0.36183,                0.55398,                0.93133,                0.93364,                0.89477,                0.94844,                0.80669,                0.67523,                0.51174,                 1.0692,               0.004258,               0.004258,               0.004258
                     60,                0.35866,                0.54462,                0.92853,                0.92521,                0.89638,                0.94831,                0.80689,                0.67338,                0.50929,                 1.0678,               0.004159,               0.004159,               0.004159
                     61,                0.35927,                0.54491,                 0.9288,                0.92765,                0.89489,                0.94891,                 0.8089,                0.67188,                0.50783,                 1.0661,                0.00406,                0.00406,                0.00406
                     62,                0.35452,                0.54191,                0.92863,                0.93262,                0.89728,                0.94948,                0.80837,                0.67112,                0.50585,                  1.065,               0.003961,               0.003961,               0.003961
                     63,                0.35678,                0.53864,                0.92819,                0.93365,                0.89389,                0.95018,                0.80925,                0.66965,                0.50298,                  1.064,               0.003862,               0.003862,               0.003862
                     64,                 0.3536,                0.53188,                0.92602,                0.94773,                0.88552,                0.95071,                 0.8107,                0.66798,                0.49953,                 1.0626,               0.003763,               0.003763,               0.003763
                     65,                0.35026,                 0.5254,                0.92364,                0.94559,                0.88724,                0.95095,                0.81148,                0.66613,                0.49705,                 1.0613,               0.003664,               0.003664,               0.003664
                     66,                0.35156,                0.52363,                0.92616,                0.94547,                0.88994,                0.95089,                0.81198,                0.66441,                0.49544,                 1.0604,               0.003565,               0.003565,               0.003565
                     67,                0.35099,                0.51834,                0.92607,                0.93725,                0.89762,                0.95122,                0.81226,                0.66329,                 0.4925,                 1.0594,               0.003466,               0.003466,               0.003466
                     68,                 0.3497,                0.51232,                0.92541,                0.93244,                0.90049,                0.95197,                0.81243,                0.66118,                 0.4898,                 1.0581,               0.003367,               0.003367,               0.003367
                     69,                0.34876,                0.51167,                0.92501,                 0.9327,                0.90114,                0.95191,                 0.8145,                  0.659,                0.48753,                 1.0563,               0.003268,               0.003268,               0.003268
                     70,                0.34579,                0.50336,                0.92308,                0.93255,                0.90473,                0.95198,                0.81481,                0.65673,                0.48554,                  1.054,               0.003169,               0.003169,               0.003169
                     71,                0.34215,                0.50402,                0.92118,                0.93308,                0.90577,                0.95256,                0.81495,                0.65508,                0.48341,                 1.0525,                0.00307,                0.00307,                0.00307
                     72,                0.34448,                0.49891,                0.92026,                0.93768,                0.90385,                0.95278,                0.81622,                0.65326,                0.48152,                  1.051,               0.002971,               0.002971,               0.002971
                     73,                0.34215,                0.49366,                0.92138,                 0.9441,                0.90132,                0.95454,                0.81784,                0.65168,                0.47968,                 1.0494,               0.002872,               0.002872,               0.002872
                     74,                0.33703,                0.48718,                0.91916,                0.94727,                0.90059,                0.95518,                0.81958,                0.65046,                0.47808,                 1.0489,               0.002773,               0.002773,               0.002773
                     75,                0.33969,                0.48608,                0.91916,                0.94782,                0.90508,                 0.9554,                0.82009,                0.64899,                0.47632,                 1.0479,               0.002674,               0.002674,               0.002674
                     76,                0.33692,                0.48074,                0.91871,                0.94598,                 0.9076,                0.95523,                0.82086,                0.64705,                0.47406,                 1.0468,               0.002575,               0.002575,               0.002575
                     77,                0.33518,                0.47653,                0.91837,                 0.9489,                0.90796,                0.95633,                0.82233,                0.64516,                0.47138,                  1.045,               0.002476,               0.002476,               0.002476
                     78,                0.33533,                0.47153,                0.91809,                0.94781,                0.90836,                0.95602,                 0.8222,                0.64242,                0.46887,                 1.0423,               0.002377,               0.002377,               0.002377
                     79,                0.33254,                0.46959,                0.91695,                0.94879,                0.90782,                0.95624,                 0.8229,                0.64039,                0.46581,                 1.0408,               0.002278,               0.002278,               0.002278
                     80,                0.32808,                0.46034,                0.91418,                0.94953,                0.90786,                0.95653,                0.82321,                0.63849,                0.46406,                 1.0395,               0.002179,               0.002179,               0.002179
                     81,                0.32714,                0.45716,                0.91459,                0.94888,                0.90966,                0.95696,                0.82453,                0.63663,                0.46126,                  1.038,                0.00208,                0.00208,                0.00208
                     82,                0.32654,                 0.4547,                  0.916,                0.95048,                0.90937,                0.95733,                0.82632,                0.63522,                0.45873,                  1.037,               0.001981,               0.001981,               0.001981
                     83,                0.32561,                0.44976,                0.91442,                0.95045,                0.90861,                0.95787,                0.82735,                0.63393,                 0.4564,                 1.0357,               0.001882,               0.001882,               0.001882
                     84,                0.32229,                0.44459,                0.91107,                0.95095,                 0.9105,                0.95843,                0.82841,                0.63231,                0.45381,                 1.0343,               0.001783,               0.001783,               0.001783
                     85,                 0.3211,                0.43802,                0.91248,                0.95067,                0.91014,                0.95846,                0.82847,                0.63015,                 0.4512,                 1.0327,               0.001684,               0.001684,               0.001684
                     86,                0.31757,                0.43428,                0.90942,                0.94394,                0.91446,                0.95884,                0.82922,                0.62863,                0.44861,                 1.0313,               0.001585,               0.001585,               0.001585
                     87,                0.31951,                0.43336,                0.91376,                0.94302,                0.91437,                0.95781,                0.83021,                0.62679,                0.44641,                   1.03,               0.001486,               0.001486,               0.001486
                     88,                0.31826,                0.42902,                0.90986,                 0.9428,                0.91501,                0.95826,                0.83056,                 0.6251,                0.44444,                 1.0287,               0.001387,               0.001387,               0.001387
                     89,                0.31583,                0.42279,                0.91024,                0.94264,                0.91701,                0.95867,                 0.8318,                0.62359,                0.44273,                 1.0281,               0.001288,               0.001288,               0.001288
                     90,                0.31198,                0.41646,                0.90774,                0.94398,                  0.918,                0.95971,                0.83282,                0.62216,                 0.4408,                 1.0268,               0.001189,               0.001189,               0.001189
                     91,                0.30369,                0.29316,                0.86965,                0.94786,                0.91593,                0.96023,                0.83411,                0.61946,                 0.4389,                 1.0242,                0.00109,                0.00109,                0.00109
                     92,                  0.299,                0.28292,                0.86705,                0.94932,                0.91559,                0.96053,                0.83519,                0.61686,                 0.4363,                 1.0228,               0.000991,               0.000991,               0.000991
                     93,                  0.292,                0.26915,                0.85999,                0.94705,                0.91909,                0.96123,                0.83619,                0.61395,                0.43406,                 1.0199,               0.000892,               0.000892,               0.000892
                     94,                0.28912,                0.26227,                0.85876,                0.94776,                0.92127,                0.96181,                0.83853,                0.61124,                0.43141,                 1.0177,               0.000793,               0.000793,               0.000793
                     95,                0.28576,                0.25579,                0.85777,                0.95354,                0.91795,                0.96357,                0.84017,                0.60924,                0.42929,                 1.0159,               0.000694,               0.000694,               0.000694
                     96,                0.28193,                0.25081,                0.85551,                0.95213,                0.92127,                0.96501,                0.84136,                0.60802,                 0.4264,                 1.0153,               0.000595,               0.000595,               0.000595
                     97,                0.27874,                0.24618,                0.85285,                 0.9539,                0.92175,                0.96553,                 0.8434,                0.60601,                0.42382,                 1.0138,               0.000496,               0.000496,               0.000496
                     98,                0.27574,                0.24392,                0.85206,                0.95513,                0.92283,                  0.966,                0.84544,                0.60381,                 0.4211,                 1.0121,               0.000397,               0.000397,               0.000397
                     99,                0.27134,                0.23837,                0.85126,                0.96122,                0.92081,                0.96637,                0.84679,                0.60171,                0.41819,                 1.0103,               0.000298,               0.000298,               0.000298
                    100,                0.26917,                0.23193,                0.84825,                0.96682,                0.91921,                 0.9668,                0.84742,                0.59928,                 0.4157,                 1.0087,               0.000199,               0.000199,               0.000199
